WKT,name,description
"POINT (-85.7569537 38.2181141)",Point 130,Cultural CenterÂ
"POINT (-85.76057 38.2176544)",Point 131,Speed Art Museum
"POINT (-85.7593768 38.2184854)",Point 132,Strickler Hall North
"POINT (-85.7541592 38.2175628)",Point 133,Don Dobina Field
"POINT (-85.7543734 38.2170687)",Point 134,Cardinal Track Stadium East 1
"POINT (-85.754475 38.2161264)",Point 135,Cardinal Track Stadium East 2
"POINT (-85.7586335 38.2166724)",Point 136,Humanities West Main
"POINT (-85.7588803 38.2168304)",Point 137,Humanities East 1
"POINT (-85.7589152 38.2166218)",Point 138,Humanities East 2
"POINT (-85.7587676 38.2162298)",Point 139,Humanities South
"POINT (-85.7584029 38.2166745)",Point 140,Humanities West
"POINT (-85.7579232 38.2166492)",Point 141,Stevenson Hall
"POINT (-85.7582306 38.2161409)",Point 142,Schumaker Building East
"POINT (-85.7579812 38.216124)",Point 143,Schumaker Building West
"POINT (-85.7560982 38.2164058)",Point 144,SAC Bridge East
"POINT (-85.7556744 38.2163552)",Point 145,SAC Bridge West
"POINT (-85.7553588 38.216378)",Point 146,Parking Office
"POINT (-85.754842 38.2148619)",Point 147,McDonald's SouthÂ
"POINT (-85.7546783 38.2149599)",Point 148,McDonald's West
"POINT (-85.7564537 38.217964)",Point 149,Red Barn 2
"POINT (-85.7575873 38.2168634)",Point 150,SAC Dorm East
"POINT (-85.75885 38.2152)",Point 151,Schneider Hall East2
"POINT (-85.75928499999999 38.21516899999999)",Point 152,Schneider Hall West
"POINT (-85.75879 38.21544)",Point 153,Schneider Hall East1
"POINT (-85.75826 38.21512)",Point 154,Lutz Hall
"POINT (-85.7577079 38.2156968)",Point 155,Belknap Academic Building West
"POINT (-85.75719 38.21562)",Point 156,Belknap Academic Building West
"POINT (-85.7568 38.21595)",Point 157,Houchens Building
"POINT (-85.757224 38.218078)",Point 158,Cultural Center South
"POINT (-85.7620875 38.2138921)",Point 159,
"POINT (-85.7619615 38.2138142)",Point 160,
"POINT (-85.7621439 38.213987)",Point 161,
"POINT (-85.7609495 38.213704)",Point 162,
"POINT (-85.761435 38.2137572)",Point 163,
"POINT (-85.760856 38.2137358)",Point 164,
"POINT (-85.7605457 38.2136928)",Point 165,
"POINT (-85.7608232 38.2140032)",Point 166,
"POINT (-85.7616681 38.2140906)",Point 167,
"POINT (-85.7615285 38.2140783)",Point 168,
"POINT (-85.7615017 38.2143501)",Point 169,
"POINT (-85.7616519 38.21437)",Point 170,
"POINT (-85.7621078 38.214347)",Point 171,
"POINT (-85.7609966 38.2140211)",Point 172,
"POINT (-85.7603624 38.2136159)",Point 173,
"POINT (-85.7604581 38.2137697)",Point 174,
"POINT (-85.7603455 38.2137971)",Point 175,
"POINT (-85.7615849 38.2147058)",Point 176,
"POINT (-85.7612726 38.2146771)",Point 177,
"POINT (-85.7610071 38.214597)",Point 178,
"POINT (-85.7607284 38.2145674)",Point 179,
"POINT (-85.759956 38.2135885)",Point 180,
"POINT (-85.7596072 38.2135476)",Point 181,
"POINT (-85.759578 38.2137135)",Point 182,
"POINT (-85.7594411 38.2135333)",Point 183,
"POINT (-85.7593391 38.2135881)",Point 184,
"POINT (-85.7593365 38.213685)",Point 185,
"POINT (-85.7592372 38.2135038)",Point 186,
"POINT (-85.7591836 38.2137019)",Point 187,
"POINT (-85.7593231 38.2137314)",Point 188,
"POINT (-85.7592935 38.2139126)",Point 189,
"POINT (-85.7585908 38.2139432)",Point 190,
"POINT (-85.7586364 38.2136808)",Point 191,
"POINT (-85.7590146 38.2139927)",Point 192,
"POINT (-85.7592775 38.2140422)",Point 193,
"POINT (-85.7590012 38.2140728)",Point 194,Miller IT
"POINT (-85.7581216 38.2143362)",Point 195,Bigelow Parking Lot
"POINT (-85.7581682 38.2139127)",Point 196,
"POINT (-85.7580421 38.2148252)",Point 197,
"POINT (-85.7577605 38.2144406)",Point 198,
"POINT (-85.7578594 38.2138789)",Point 199,Chemistry Building
"POINT (-85.7581867 38.2136305)",Point 200,
"POINT (-85.7577552 38.2136323)",Point 201,
"POINT (-85.7574029 38.213786)",Point 202,
"POINT (-85.7573014 38.2143848)",Point 203,
"POINT (-85.7572221 38.2147921)",Point 204,BAB Circle
"POINT (-85.757649 38.2148138)",Point 205,
"POINT (-85.7588324 38.2149078)",Point 206,
"POINT (-85.7588995 38.2145738)",Point 207,
"POINT (-85.7588914 38.2146707)",Point 208,
"POINT (-85.7576267 38.2150194)",Point 209,
"POINT (-85.7587702 38.21519)",Point 210,
"POINT (-85.7592027 38.2146955)",Point 211,
"POINT (-85.7596854 38.2150041)",Point 212,
"POINT (-85.7580837 38.2146326)",Point 213,
"POINT (-85.758706 38.2154592)",Point 214,
"POINT (-85.7586797 38.215228)",Point 215,
"POINT (-85.7583706 38.2152816)",Point 216,
"POINT (-85.7581701 38.2152608)",Point 217,
"POINT (-85.7577973 38.215089)",Point 218,
"POINT (-85.7579556 38.2156833)",Point 219,BAB entrance
"POINT (-85.7586617 38.2160339)",Point 220,
"POINT (-85.7587746 38.21611)",Point 221,
"POINT (-85.7585145 38.2159551)",Point 222,
"POINT (-85.7586614 38.2157841)",Point 223,
"POINT (-85.759289 38.2158326)",Point 224,
"POINT (-85.7592301 38.2161645)",Point 225,
"POINT (-85.7594855 38.2158448)",Point 226,
"POINT (-85.7594453 38.2161862)",Point 227,
"POINT (-85.7600141 38.2162592)",Point 228,
"POINT (-85.7600249 38.2161024)",Point 229,
"POINT (-85.7598777 38.2158084)",Point 230,
"POINT (-85.759558 38.2156181)",Point 231,
"POINT (-85.7596421 38.2154361)",Point 232,
"POINT (-85.7593444 38.2155941)",Point 233,
"POINT (-85.7600416 38.2153124)",Point 234,
"POINT (-85.760216 38.2154789)",Point 235,
"POINT (-85.7603125 38.2153535)",Point 236,
"POINT (-85.760342 38.2151702)",Point 237,
"POINT (-85.7604761 38.215186)",Point 238,
"POINT (-85.7605375 38.2148554)",Point 239,
"POINT (-85.7608754 38.2147627)",Point 240,
"POINT (-85.7603661 38.2146286)",Point 241,
"POINT (-85.7604493 38.2140891)",Point 242,
"POINT (-85.759976 38.2140499)",Point 243,
"POINT (-85.759917 38.2139888)",Point 244,NS Building
"POINT (-85.7602925 38.2140794)",Point 245,
"POINT (-85.7598446 38.2147622)",Point 246,
"POINT (-85.7596998 38.2147485)",Point 247,
"POINT (-85.7595252 38.214448)",Point 248,
"POINT (-85.7594688 38.2147293)",Point 249,
"POINT (-85.759453 38.214326)",Point 250,
"POINT (-85.7620227 38.2150416)",Point 251,
"POINT (-85.7619262 38.2150648)",Point 252,
"POINT (-85.7615673 38.2148267)",Point 253,
"POINT (-85.7619548 38.2154294)",Point 254,
"POINT (-85.7618691 38.2154198)",Point 255,
"POINT (-85.7614367 38.2155741)",Point 256,
"POINT (-85.7605303 38.2155001)",Point 257,
"POINT (-85.7604256 38.2160322)",Point 258,Arthur Y Ford Parking Lot
"POINT (-85.7603774 38.2162944)",Point 259,
"POINT (-85.7605636 38.2159633)",Point 260,
"POINT (-85.7607808 38.2159865)",Point 261,
"POINT (-85.7607299 38.2163321)",Point 262,
"POINT (-85.7609391 38.2143079)",Point 263,
"POINT (-85.7600809 38.2147933)",Point 264,
"POINT (-85.7594703 38.2150973)",Point 265,
"POINT (-85.7594702 38.2154886)",Point 266,
"POINT (-85.7612125 38.2162067)",Point 267,
"POINT (-85.7610228 38.2163729)",Point 268,
"POINT (-85.7616907 38.2169482)",Point 269,
"POINT (-85.7620332 38.2164912)",Point 270,
"POINT (-85.7625225 38.2165956)",Point 271,
"POINT (-85.7626743 38.216268)",Point 272,
"POINT (-85.7631823 38.2162525)",Point 273,UP Parking Lot
"POINT (-85.763531 38.2163558)",Point 274,
"POINT (-85.7636127 38.2171974)",Point 275,
"POINT (-85.7637737 38.2172153)",Point 276,
"POINT (-85.7632909 38.2174207)",Point 277,
"POINT (-85.762794 38.2175103)",Point 278,CP Parking Lot
"POINT (-85.763258 38.2176262)",Point 279,
"POINT (-85.7633931 38.2184534)",Point 280,
"POINT (-85.7636237 38.2184534)",Point 281,
"POINT (-85.7636827 38.2183206)",Point 282,SRC
"POINT (-85.7635433 38.2188074)",Point 283,
"POINT (-85.7630956 38.218428)",Point 284,
"POINT (-85.763168 38.2180567)",Point 285,Community Park
"POINT (-85.763099 38.2185681)",Point 286,
"POINT (-85.7628603 38.2186461)",Point 287,Louisville Hall Parking Lot
"POINT (-85.7630386 38.2184679)",Point 288,
"POINT (-85.7624861 38.2183984)",Point 289,
"POINT (-85.7624002 38.2187893)",Point 290,
"POINT (-85.7624056 38.2189052)",Point 291,
"POINT (-85.7625665 38.2190927)",Point 292,
"POINT (-85.7622929 38.2190738)",Point 293,UTA
"POINT (-85.7628508 38.2193857)",Point 294,
"POINT (-85.7623573 38.2193193)",Point 295,
"POINT (-85.7615332 38.2192308)",Point 296,
"POINT (-85.7610622 38.2191824)",Point 297,
"POINT (-85.7615235 38.219372)",Point 298,
"POINT (-85.7612982 38.2193573)",Point 299,
"POINT (-85.7613545 38.2192119)",Point 300,
"POINT (-85.7611185 38.2193299)",Point 301,
"POINT (-85.7612258 38.2192034)",Point 302,
"POINT (-85.7609544 38.2193109)",Point 303,
"POINT (-85.7608685 38.2192466)",Point 304,
"POINT (-85.7608739 38.2191919)",Point 305,
"POINT (-85.7598014 38.2189784)",Point 306,
"POINT (-85.7597203 38.2188321)",Point 307,
"POINT (-85.7598708 38.2186444)",Point 308,
"POINT (-85.7606493 38.2187163)",Point 309,
"POINT (-85.7608746 38.2187332)",Point 310,
"POINT (-85.7611241 38.2190998)",Point 311,
"POINT (-85.7613179 38.2188129)",Point 312,
"POINT (-85.7614104 38.2185423)",Point 313,
"POINT (-85.7617903 38.2186915)",Point 314,
"POINT (-85.7619218 38.2183323)",Point 315,
"POINT (-85.7619576 38.2182401)",Point 316,
"POINT (-85.7618757 38.2181334)",Point 317,
"POINT (-85.7618194 38.2179932)",Point 318,
"POINT (-85.7616853 38.2185137)",Point 319,
"POINT (-85.7618377 38.2177645)",Point 320,
"POINT (-85.7619369 38.2174073)",Point 321,
"POINT (-85.7623215 38.2175085)",Point 322,
"POINT (-85.7626648 38.2175969)",Point 323,
"POINT (-85.7626032 38.2180036)",Point 324,
"POINT (-85.7627748 38.2180278)",Point 325,Community Park
"POINT (-85.7623081 38.2183416)",Point 326,
"POINT (-85.762013 38.216966)",Point 327,
"POINT (-85.7622919 38.2172293)",Point 328,UPointe
"POINT (-85.7623059 38.2170527)",Point 329,
"POINT (-85.7621181 38.2174443)",Point 330,
"POINT (-85.7608657 38.2172278)",Point 331,
"POINT (-85.7607051 38.217227)",Point 332,
"POINT (-85.7600107 38.2176075)",Point 333,
"POINT (-85.7597827 38.2173346)",Point 334,
"POINT (-85.7604156 38.2173768)",Point 335,
"POINT (-85.7601019 38.2173746)",Point 336,
"POINT (-85.7598415 38.2172324)",Point 337,
"POINT (-85.7598548 38.2169089)",Point 338,Ekstrom Library
"POINT (-85.7594123 38.2170522)",Point 339,
"POINT (-85.7591513 38.2172)",Point 340,
"POINT (-85.7592024 38.2168887)",Point 341,
"POINT (-85.7592451 38.2166577)",Point 342,Center
"POINT (-85.7593121 38.2161793)",Point 343,
"POINT (-85.7588633 38.2171045)",Point 344,
"POINT (-85.7586058 38.2173821)",Point 345,
"POINT (-85.7584798 38.2170755)",Point 346,
"POINT (-85.7583862 38.2170762)",Point 347,
"POINT (-85.758384 38.217639)",Point 348,
"POINT (-85.7583169 38.2175758)",Point 349,
"POINT (-85.7587863 38.2176791)",Point 350,
"POINT (-85.7590887 38.2177151)",Point 351,
"POINT (-85.7590438 38.2179996)",Point 352,
"POINT (-85.7598957 38.2178048)",Point 353,
"POINT (-85.7600057 38.2178997)",Point 354,
"POINT (-85.7589951 38.2184226)",Point 355,
"POINT (-85.7592094 38.2184701)",Point 356,
"POINT (-85.759365 38.2185902)",Point 357,
"POINT (-85.7589078 38.2189442)",Point 358,
"POINT (-85.7590046 38.219131)",Point 359,
"POINT (-85.7594053 38.2191681)",Point 360,
"POINT (-85.7596252 38.2192903)",Point 361,
"POINT (-85.7595942 38.2195255)",Point 362,
"POINT (-85.7590658 38.219497)",Point 363,
"POINT (-85.7588846 38.2195003)",Point 364,
"POINT (-85.7596832 38.219855)",Point 365,Music School Parking Lot
"POINT (-85.7597612 38.2202275)",Point 366,
"POINT (-85.7597987 38.220298)",Point 367,
"POINT (-85.758225 38.2176141)",Point 368,
"POINT (-85.7582471 38.217994)",Point 369,
"POINT (-85.7574493 38.2179138)",Point 370,
"POINT (-85.7576853 38.2179359)",Point 371,
"POINT (-85.7574922 38.2176735)",Point 372,
"POINT (-85.7577919 38.2180556)",Point 373,
"POINT (-85.7579287 38.2180966)",Point 374,
"POINT (-85.7580663 38.2181987)",Point 375,
"POINT (-85.758171 38.2183511)",Point 376,
"POINT (-85.7581576 38.2184733)",Point 377,
"POINT (-85.7582971 38.2185808)",Point 378,
"POINT (-85.757986 38.2185576)",Point 379,
"POINT (-85.7579404 38.2188687)",Point 380,
"POINT (-85.7583025 38.2189056)",Point 381,
"POINT (-85.7572918 38.2187976)",Point 382,
"POINT (-85.758286 38.2190455)",Point 383,
"POINT (-85.7582182 38.2193937)",Point 384,
"POINT (-85.758355 38.219459)",Point 385,
"POINT (-85.7580933 38.220113)",Point 386,
"POINT (-85.7597081 38.2203048)",Point 387,
"POINT (-85.7570419 38.2172041)",Point 388,
"POINT (-85.7572672 38.2174296)",Point 389,
"POINT (-85.756851 38.2169806)",Point 390,
"POINT (-85.7568525 38.216432)",Point 391,
"POINT (-85.7569714 38.215997)",Point 392,
"POINT (-85.7574026 38.2160126)",Point 393,
"POINT (-85.7578982 38.21593)",Point 394,
"POINT (-85.7581906 38.2157814)",Point 395,
"POINT (-85.7570948 38.2159701)",Point 396,
"POINT (-85.7570565 38.2156104)",Point 397,
"POINT (-85.7570497 38.2153862)",Point 398,
"POINT (-85.7572455 38.2151597)",Point 399,
"POINT (-85.7571884 38.2149298)",Point 400,
"POINT (-85.7570175 38.2148966)",Point 401,
"POINT (-85.7570229 38.2147554)",Point 402,
"POINT (-85.7575249 38.2150189)",Point 403,
"POINT (-85.7576886 38.2152655)",Point 404,BAB
"POINT (-85.7553139 38.2147188)",Point 405,
"POINT (-85.755216 38.2147452)",Point 406,
"POINT (-85.7552669 38.214993)",Point 407,Ralph Wright Natatorium
"POINT (-85.7551854 38.2149757)",Point 408,
"POINT (-85.755002 38.2147334)",Point 409,
"POINT (-85.7550963 38.2154289)",Point 410,
"POINT (-85.7550709 38.215588)",Point 411,
"POINT (-85.7550736 38.2158644)",Point 412,SAC Parking Garage
"POINT (-85.7550024 38.215964)",Point 413,
"POINT (-85.7548984 38.2169523)",Point 414,
"POINT (-85.754832 38.2171246)",Point 415,
"POINT (-85.7551027 38.2171476)",Point 416,
"POINT (-85.7551269 38.217293)",Point 417,
"POINT (-85.7555855 38.2173077)",Point 418,
"POINT (-85.754788 38.2171883)",Point 416,
"POINT (-85.7545835 38.2170906)",Point 420,
"POINT (-85.7545647 38.2171949)",Point 421,
"POINT (-85.7543797 38.2176121)",Point 422,
"POINT (-85.754664 38.217669)",Point 423,
"POINT (-85.7545594 38.2179446)",Point 424,
"POINT (-85.7542241 38.2179151)",Point 425,
"POINT (-85.7541731 38.2182017)",Point 426,
"POINT (-85.7542938 38.2182112)",Point 427,
"POINT (-85.7545379 38.2183134)",Point 428,
"POINT (-85.7539587 38.2183452)",Point 429,
"POINT (-85.7539667 38.2184337)",Point 430,
"POINT (-85.753889 38.2185264)",Point 431,
"POINT (-85.7534021 38.2185911)",Point 432,
"POINT (-85.752997 38.2185469)",Point 433,
"POINT (-85.7529246 38.2188777)",Point 434,
"POINT (-85.753048 38.2189357)",Point 435,Engineering Garage
"POINT (-85.7540189 38.2186291)",Point 436,
"POINT (-85.7541103 38.2188187)",Point 437,
"POINT (-85.7542015 38.2187913)",Point 438,
"POINT (-85.7543275 38.2188208)",Point 439,
"POINT (-85.754398 38.2187563)",Point 440,
"POINT (-85.7545245 38.2187695)",Point 441,
"POINT (-85.7545433 38.2186389)",Point 440,
"POINT (-85.7546935 38.2185651)",Point 443,
"POINT (-85.7548824 38.2186828)",Point 444,
"POINT (-85.755055 38.2188435)",Point 445,
"POINT (-85.7552615 38.219088)",Point 446,
"POINT (-85.7561127 38.2196774)",Point 447,
"POINT (-85.7548435 38.218906)",Point 448,
"POINT (-85.7550635 38.2191926)",Point 449,
"POINT (-85.7556529 38.2196483)",Point 450,
"POINT (-85.7561148 38.219959)",Point 451,
"POINT (-85.7564409 38.2201223)",Point 452,
"POINT (-85.7565612 38.2199085)",Point 453,
"POINT (-85.7567972 38.2202099)",Point 454,
"POINT (-85.7569573 38.2199983)",Point 455,
"POINT (-85.7568286 38.2199697)",Point 456,
"POINT (-85.7569447 38.2192194)",Point 457,
"POINT (-85.7571774 38.2191341)",Point 458,
"POINT (-85.7571881 38.2189339)",Point 459,
"POINT (-85.7568126 38.2188791)",Point 460,
"POINT (-85.756846 38.2187515)",Point 461,
"POINT (-85.7566368 38.2186176)",Point 462,
"POINT (-85.7566061 38.2182762)",Point 463,
"POINT (-85.7566704 38.2178937)",Point 464,
"POINT (-85.7567484 38.2175842)",Point 465,
"POINT (-85.7566063 38.2174577)",Point 466,
"POINT (-85.7571963 38.2179614)",Point 467,
"POINT (-85.759573 38.2205088)",Point 468,
"POINT (-85.7611194 38.2204353)",Point 469,
"POINT (-85.7605557 38.2203754)",Point 470,
"POINT (-85.7604511 38.2202363)",Point 471,
"POINT (-85.7600461 38.2203227)",Point 472,
"POINT (-85.760433 38.2200252)",Point 473,
"POINT (-85.7627129 38.2206011)",Point 474,
"POINT (-85.7627287 38.2208486)",Point 475,
"POINT (-85.7629165 38.2208581)",Point 476,
"POINT (-85.7630077 38.2206695)",Point 477,
"POINT (-85.7632068 38.2194198)",Point 478,
"POINT (-85.7631907 38.2195547)",Point 479,
"POINT (-85.7629145 38.2195463)",Point 480,
"POINT (-85.76136 38.2204719)",Point 481,
"POINT (-85.761309 38.2207047)",Point 482,
"POINT (-85.7612929 38.2209292)",Point 483,
"POINT (-85.7614753 38.2209514)",Point 484,Cardinal Towne
"POINT (-85.7583312 38.2174149)",Point 485,
"POINT (-85.7582255 38.2174205)",Point 486,
"POINT (-85.7580163 38.217587)",Point 487,
"POINT (-85.7583863 38.2164762)",Point 488,
"POINT (-85.7579947 38.2164573)",Point 489,
"POINT (-85.7577211 38.2165189)",Point 490,
"POINT (-85.7582169 38.2135356)",Point 491,
"POINT (-85.7577544 38.2135105)",Point 492,
"POINT (-85.7579743 38.2136517)",Point 493,
"POINT (-85.757455 38.213482)",Point 494,
"POINT (-85.7598032 38.2135652)",Point 495,
"POINT (-85.762431 38.2138947)",Point 496,
"POINT (-85.7622525 38.2135398)",Point 497,
"POINT (-85.762451 38.2125077)",Point 498,Green Lot Parking Lot
"POINT (-85.7623379 38.2147877)",Point 499,
"POINT (-85.7623057 38.2151102)",Point 500,
"POINT (-85.7622787 38.215709)",Point 501,
"POINT (-85.7603135 38.2157804)",Point 502,
"POINT (-85.7597605 38.21501)",Point 503,
"POINT (-85.7606018 38.2147121)",Point 504,
"POINT (-85.7549981 38.2148987)",Point 505,
"POINT (-85.755927 38.2176005)",Point 506,
"POINT (-85.7555541 38.2178196)",Point 507,
"POINT (-85.7553342 38.2175741)",Point 508,
