WKT,name,description
"POINT (-85.7548837 38.2168537)",Point 113,SAC Parking West
"POINT (-85.7560365 38.2185014)",Point 114,University Club South
"POINT (-85.755775 38.2185731)",Point 115,University Club West
"POINT (-85.7564389 38.2187669)",Point 116,University Club East
"POINT (-85.756996 38.2186969)",Point 117,Cultural Center North
"POINT (-85.758694 38.2181059)",Point 118,Davidson Hall East
"POINT (-85.7585036 38.2180964)",Point 119,Davidson Hall West
"POINT (-85.7587386 38.2184516)",Point 120,Davidson Hall North
"POINT (-85.7574986 38.21755)",Point 121,Intersection
"POINT (-85.7581679 38.2187752)",Point 122,North Information Center
"POINT (-85.7578837 38.2177447)",Point 123,Baptist Center
"POINT (-85.7590789 38.2186513)",Point 124,Planetarium South
"POINT (-85.7590898 38.2189355)",Point 125,Planetarium North
"POINT (-85.7593489 38.2181054)",Point 126,Strickler Hall West
"POINT (-85.759815 38.2179825)",Point 127,Strickler Hall East
"POINT (-85.760802 38.2188175)",Point 128,Robbins Hall
"POINT (-85.7580522 38.217463)",Point 129,Campus Ministry East
"POINT (-85.7575817 38.2187108)",Point 130,East Brandeis Parking
"POINT (-85.7569537 38.2181141)",Point 131,Cultural CenterÂ
"POINT (-85.76057 38.2176544)",Point 132,Speed Art Museum
"POINT (-85.7593768 38.2184854)",Point 133,Strickler Hall North
"POINT (-85.7541592 38.2175628)",Point 134,Don Dobina Field
"POINT (-85.7543734 38.2170687)",Point 135,Cardinal Track Stadium East 1
"POINT (-85.754475 38.2161264)",Point 136,Cardinal Track Stadium East 2
"POINT (-85.7586335 38.2166724)",Point 137,Humanities West Main
"POINT (-85.7588803 38.2168304)",Point 138,Humanities East 1
"POINT (-85.7589152 38.2166218)",Point 139,Humanities East 2
"POINT (-85.7587676 38.2162298)",Point 140,Humanities South
"POINT (-85.7584029 38.2166745)",Point 141,Humanities West
"POINT (-85.7579232 38.2166492)",Point 142,Stevenson Hall
"POINT (-85.7582306 38.2161409)",Point 143,Schumaker Building East
"POINT (-85.7579812 38.216124)",Point 144,Schumaker Building West
"POINT (-85.7560982 38.2164058)",Point 145,SAC Bridge East
"POINT (-85.7556744 38.2163552)",Point 146,SAC Bridge West
"POINT (-85.7553588 38.216378)",Point 147,Parking Office
"POINT (-85.754842 38.2148619)",Point 148,McDonald's SouthÂ
"POINT (-85.7546783 38.2149599)",Point 149,McDonald's West
"POINT (-85.7564537 38.217964)",Point 150,Red Barn 2
"POINT (-85.7575873 38.2168634)",Point 151,SAC Dorm East
"POINT (-85.75885 38.2152)",Point 152,Schneider Hall East2
"POINT (-85.75928499999999 38.21516899999999)",Point 153,Schneider Hall West
"POINT (-85.75879 38.21544)",Point 154,Schneider Hall East1
"POINT (-85.75826 38.21512)",Point 155,Lutz Hall
"POINT (-85.7577079 38.2156968)",Point 156,Belknap Academic Building West
"POINT (-85.75719 38.21562)",Point 157,Belknap Academic Building West
"POINT (-85.7568 38.21595)",Point 158,Houchens Building
